sigma,rank,ave. train error,ave. test error,ave. num for both train and test
1.0,300,0.5264909442142848,1.1888778856798394,0.0
1.0,330,0.4301167524685121,1.2416449924270898,0.0
1.0,360,0.27015339251273,1.3288980788754134,0.0
1.0,390,3.0439132835191526e-14,1.4111563460664762,0.0
1.3433993325989002,300,0.5242367702012127,1.1955476381084027,0.0
1.3433993325989002,330,0.42936054963690773,1.2502177792144182,0.0
1.3433993325989002,360,0.2693958474998475,1.3283523147321283,0.0
1.3433993325989002,390,2.942896387115715e-14,1.400433216569939,0.0
1.8047217668271702,300,0.5245216737840689,1.1764614434882044,0.0
1.8047217668271702,330,0.434180047773122,1.2424505223771263,0.0
1.8047217668271702,360,0.26520973705676054,1.3520730305686541,0.0
1.8047217668271702,390,2.875496224751757e-14,1.4115274324197125,0.0
2.424462017082328,300,0.521169654560474,1.187788252257625,0.0
2.424462017082328,330,0.42262926391648337,1.2359453529771152,0.0
2.424462017082328,360,0.25833783147333356,1.33201325453445,0.0
2.424462017082328,390,2.9184834084102704e-14,1.3666685774211937,0.0
3.257020655659783,300,0.5065623090757658,1.178648331855916,0.0
3.257020655659783,330,0.41220023816478474,1.2310005209346853,0.0
3.257020655659783,360,0.25281957206113864,1.3225569878624153,0.0
3.257020655659783,390,3.321588253803235e-14,1.3827435061507152,0.0
4.3754793750741845,300,0.48171706938991726,1.1686985231568294,0.0
4.3754793750741845,330,0.3824594640029892,1.1962258006597462,0.0
4.3754793750741845,360,0.22323983325399205,1.2931855122071156,0.0
4.3754793750741845,390,3.951899023787322e-14,1.3505468958127507,0.0
5.878016072274912,300,0.42268303643248056,1.1194375657453548,0.0
5.878016072274912,330,0.3206310910385976,1.1532201212083732,0.0
5.878016072274912,360,0.17906966286289475,1.2310258285090865,0.0
5.878016072274912,390,1.0709654011539875e-13,1.2756640697944224,0.0
7.896522868499725,300,0.3496122118242473,1.040792102525785,0.0
7.896522868499725,330,0.2470084529846315,1.0371202022592223,0.0
7.896522868499725,360,0.10341050559828957,1.0705986187112726,0.0
7.896522868499725,390,8.441555029534426e-13,1.0618818231374463,0.0
10.608183551394482,300,0.261222709851671,0.9124822721440994,0.25
10.608183551394482,330,0.15968822139302852,0.8868336632025432,0.0
10.608183551394482,360,0.05369294973481877,0.9103016843367945,0.0
10.608183551394482,390,2.7498673426096264e-11,0.796772249643164,0.0
14.251026703029977,300,0.19587718551096306,0.7580003803917841,1.25
14.251026703029977,330,0.0990066716927668,0.6858164633782278,1.5
14.251026703029977,360,0.0260680905128216,0.7261907059457183,1.75
14.251026703029977,390,1.1785718696482072e-09,0.7716223946460676,2.0
19.144819761699576,300,0.1393780852684299,0.6899822192643532,3.25
19.144819761699576,330,0.0668983676484543,0.6481584493883741,4.25
19.144819761699576,360,0.01647785253517206,0.628502912140587,3.75
19.144819761699576,390,2.7225849766422668e-08,0.6436130684193471,4.25
25.719138090593443,300,0.11306555590440645,0.6036956957674587,5.25
25.719138090593443,330,0.05311121323651393,0.6133270761917587,6.0
25.719138090593443,360,0.011710828267946942,0.6125582239338574,5.75
25.719138090593443,390,0.00017718345857066137,0.5946574542365789,6.0
34.55107294592218,300,0.10021822261560423,0.5833590292064648,7.0
34.55107294592218,330,0.04807010232975611,0.5246296168313995,7.75
34.55107294592218,360,0.009998517894344064,0.5727784899562168,8.25
34.55107294592218,390,0.0016753795982130276,0.5528820616842083,8.75
46.41588833612777,300,0.0983875041995004,0.5178121642400156,8.5
46.41588833612777,330,0.039863151119649116,0.550736220136383,11.0
46.41588833612777,360,0.01583844082772967,0.5979210265326453,11.25
46.41588833612777,390,0.005074895550299002,0.5939265654757511,9.0
62.355073412739124,300,0.087607524085315,0.5772160200390442,10.0
62.355073412739124,330,0.04548255398548391,0.5043141834171458,10.75
62.355073412739124,360,0.028957181002052343,0.5408232200515836,9.75
62.355073412739124,390,0.017237796012847723,0.6128484278352753,11.5
83.76776400682915,300,0.09209824600202236,0.5495999655082963,11.25
83.76776400682915,330,0.07189165176320805,0.532533772590575,10.75
83.76776400682915,360,0.05612572741769624,0.5294306446994709,12.5
83.76776400682915,390,0.04215290733224185,0.5441557787410329,10.25
112.53355826007646,300,0.11836044271063256,0.5288753412835128,10.75
112.53355826007646,330,0.10991664206975824,0.596371719465528,12.25
112.53355826007646,360,0.09210068949804112,0.5745742194897793,11.5
112.53355826007646,390,0.0793917070633533,0.6972371028266783,13.0
151.17750706156616,300,0.17018732802530723,0.6858331131035909,11.5
151.17750706156616,330,0.16613866682035008,0.5977259869655003,11.25
151.17750706156616,360,0.15938328869688104,0.5560623160997918,12.5
151.17750706156616,390,0.14785011766432965,0.6500839672799246,12.25
203.09176209047348,300,0.2240503275053661,0.7540519089938534,9.75
203.09176209047348,330,0.23060131517682947,0.758926801314429,7.0
203.09176209047348,360,0.21085025405019953,0.7466061057774935,10.75
203.09176209047348,390,0.23396417472271186,0.7846605064480279,9.25
272.83333764867666,300,0.3489204801248319,0.6662448031992272,10.0
272.83333764867666,330,0.30903324969021656,0.7092632304334285,6.75
272.83333764867666,360,0.3150345108874223,0.7116333485672249,9.75
272.83333764867666,390,0.30669210422385806,0.7959646427524462,9.25
366.5241237079626,300,0.39368405820061103,0.719264934248366,7.0
366.5241237079626,330,0.37923637681197087,0.8070516882390748,8.5
366.5241237079626,360,0.397705112038326,0.7206127813088373,8.25
366.5241237079626,390,0.40095492571234276,0.753772869334403,8.5
492.38826317067367,300,0.4517659926613809,0.6903893917809725,8.25
492.38826317067367,330,0.4785008500279917,0.7282715934588773,7.5
492.38826317067367,360,0.44432923497466614,0.8182180560143766,7.5
492.38826317067367,390,0.4311994153292673,0.8981821272273536,5.25
661.4740641230146,300,0.5277523455053785,0.6987293218740326,6.75
661.4740641230146,330,0.508152057275007,0.7929415250355254,6.25
661.4740641230146,360,0.507648854324845,0.8433066980121072,5.0
661.4740641230146,390,0.5163322176929435,0.8420424987291328,6.0
888.6238162743398,300,0.5669157981931298,0.7070273527921068,5.5
888.6238162743398,330,0.5600217062383095,0.7508275976891714,4.75
888.6238162743398,360,0.5926929391217417,0.7062178245268286,4.25
888.6238162743398,390,0.6042822602836787,0.7378153093072232,5.75
1193.7766417144358,300,0.5765306139743437,0.7645328706724254,6.25
1193.7766417144358,330,0.6103021570284075,0.7211178513876144,4.75
1193.7766417144358,360,0.5900920643259376,0.7749627921733537,6.25
1193.7766417144358,390,0.6252445859040077,0.7170124415487193,5.25
1603.7187437513294,300,0.6119619480518974,0.7618697711397359,5.5
1603.7187437513294,330,0.6420608125189832,0.7252577140551322,5.5
1603.7187437513294,360,0.6259646914684089,0.7921246121520881,5.5
1603.7187437513294,390,0.6497395008845389,0.7638551697881163,6.0
2154.4346900318824,300,0.6475643815188026,0.7780575182245185,4.75
2154.4346900318824,330,0.6374970155097979,0.7827932443764744,6.0
2154.4346900318824,360,0.6773171980802857,0.761057366353218,5.0
2154.4346900318824,390,0.6650949149715228,0.807264198438655,4.75
2894.266124716749,300,0.6745609760292651,0.7473817817229493,6.5
2894.266124716749,330,0.6750296057806606,0.762447361640544,4.0
2894.266124716749,360,0.6818234401256453,0.7935963590268863,5.0
2894.266124716749,390,0.7069054586931018,0.7882732366710805,4.75
3888.155180308085,300,0.7034501327188465,0.7639672387288174,4.25
3888.155180308085,330,0.7006453759086835,0.7618675553159983,5.5
3888.155180308085,360,0.7129435497313326,0.7799067339961631,3.75
3888.155180308085,390,0.7068273365146754,0.7872632221312171,5.75
5223.345074266838,300,0.6662437413556265,0.732386172707552,5.0
5223.345074266838,330,0.709920630293285,0.7627039858471377,6.0
5223.345074266838,360,0.7169523940828706,0.7610945291961737,5.75
5223.345074266838,390,0.7129774142858973,0.7530562086073544,5.75
7017.038286703822,300,0.6560167779133347,0.7407850047453116,4.25
7017.038286703822,330,0.6530029183421965,0.73843253604133,5.0
7017.038286703822,360,0.6299153844527934,0.6972771949435916,4.25
7017.038286703822,390,0.6561410948390568,0.7518362657117419,5.25
9426.684551178845,300,0.6407974722828516,0.7036797023227757,4.0
9426.684551178845,330,0.642895241175487,0.722872258587435,4.25
9426.684551178845,360,0.6447665088885361,0.7165499030171273,4.5
9426.684551178845,390,0.6208550787748842,0.6989994452942943,3.75
12663.801734674022,300,0.6264506381099856,0.7182045926185754,4.0
12663.801734674022,330,0.6455104956438402,0.7278560816674639,4.0
12663.801734674022,360,0.6878122394794978,0.7517342209517974,4.5
12663.801734674022,390,0.6544162213205513,0.6895875409653907,5.0
17012.542798525858,300,0.6162642564846718,0.6759400994922905,3.75
17012.542798525858,330,0.6420884770405706,0.7007165964446402,3.75
17012.542798525858,360,0.6226396711638867,0.6879719027657308,3.0
17012.542798525858,390,0.6329180147776355,0.6843341068608348,5.25
22854.638641349884,300,0.6508869322909374,0.7171424277413905,6.0
22854.638641349884,330,0.6749895945753116,0.7208025252755927,5.75
22854.638641349884,360,0.6545450511817394,0.706190937820359,4.75
22854.638641349884,390,0.6506285851292819,0.7069998832163571,5.5
30702.9062975785,300,0.6831210970074667,0.725026643331516,5.25
30702.9062975785,330,0.6957338050204513,0.7416653903391992,4.75
30702.9062975785,360,0.6938417424511671,0.7133082768194321,5.5
30702.9062975785,390,0.6795559108106586,0.7455693689700346,5.0
41246.26382901348,300,0.7230968691152022,0.7544877150268192,5.0
41246.26382901348,330,0.7032480335079198,0.7581616608626336,5.0
41246.26382901348,360,0.7165201286390015,0.7499590906815786,5.0
41246.26382901348,390,0.7241519474826527,0.7505893857894907,5.0
55410.20330009481,300,0.7429473673336873,0.7810015438926312,5.0
55410.20330009481,330,0.7428486763614606,0.7542370310969917,5.0
55410.20330009481,360,0.7503013521123139,0.7938176794114928,5.0
55410.20330009481,390,0.7409254269119291,0.7727815761427543,5.0
74438.03013251681,300,0.7481909150195659,0.7647770823242865,5.25
74438.03013251681,330,0.745628089799135,0.7684292866247416,5.25
74438.03013251681,360,0.752875923128372,0.7616830659794064,5.25
74438.03013251681,390,0.7512758169672888,0.7767594467290186,5.25
100000.0,300,0.7454360415327267,0.7695883037512884,5.5
100000.0,330,0.7462499658976163,0.7631134791301563,5.25
100000.0,360,0.7597860039334874,0.7894017351124023,4.75
100000.0,390,0.7705335907685591,0.7827302275355665,5.25
